franchise_id,tbl_dt,commission_amount,name
2.51E+11,4/16/2023,217115,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,150746,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,282576,CITY COM LTD
2.51E+11,4/16/2023,16061,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,146237,PHONECOM LTD
2.51E+11,4/17/2023,88419,Balthazar
2.51E+11,4/17/2023,8899,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,178601,PHONECOM LTD
2.51E+11,4/17/2023,286858,CITY COM LTD
2.51E+11,4/17/2023,206449,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/17/2023,255297,Barthazal
2.51E+11,4/17/2023,153266,NYUNGWE CELLULAR LTD
2.51E+11,4/17/2023,68582,CITY COM LTD
2.51E+11,4/17/2023,385747,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,234721,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,177435,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,301658,CITY COM LTD
2.51E+11,4/17/2023,15165,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,158843,PHONECOM LTD
2.51E+11,4/18/2023,82152,Balthazar
2.51E+11,4/18/2023,6202,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,188523,PHONECOM LTD
2.51E+11,4/18/2023,286078,CITY COM LTD
2.51E+11,4/18/2023,182767,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/18/2023,229100,Barthazal
2.51E+11,4/18/2023,137631,NYUNGWE CELLULAR LTD
2.51E+11,4/18/2023,60056,CITY COM LTD
2.51E+11,4/18/2023,337227,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,214848,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,154953,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,265814,CITY COM LTD
2.51E+11,4/18/2023,14488,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,148908,PHONECOM LTD
2.51E+11,4/19/2023,78664,Balthazar
2.51E+11,4/19/2023,6290,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,138740,PHONECOM LTD
2.51E+11,4/19/2023,272321,CITY COM LTD
2.51E+11,4/19/2023,196458,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/19/2023,241947,Barthazal
2.51E+11,4/19/2023,139971,NYUNGWE CELLULAR LTD
2.51E+11,4/19/2023,64425,CITY COM LTD
2.51E+11,4/19/2023,349661,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,205752,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,153216,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,275721,CITY COM LTD
2.51E+11,4/19/2023,14658,ESCALE FRANCHISEE LTD
2.51E+11,4/19/2023,148404,PHONECOM LTD
2.51E+11,4/20/2023,78376,Balthazar
2.51E+11,4/20/2023,5923,ESCALE FRANCHISEE LTD
2.51E+11,4/20/2023,147606,PHONECOM LTD
