franchise_id,tbl_dt,sell_amount,name
2.51E+11,4/11/2023,14962652,CITY COM LTD
2.51E+11,4/11/2023,732179,ESCALE FRANCHISEE LTD
2.51E+11,4/11/2023,7992792,PHONECOM LTD
2.51E+11,4/12/2023,4248147,Balthazar
2.51E+11,4/12/2023,513046,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,7565620,PHONECOM LTD
2.51E+11,4/12/2023,13681910,CITY COM LTD
2.51E+11,4/12/2023,10913297,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/12/2023,12786565,Barthazal
2.51E+11,4/12/2023,7195562,NYUNGWE CELLULAR LTD
2.51E+11,4/12/2023,3304144,CITY COM LTD
2.51E+11,4/12/2023,18023337,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,11275162,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,8415692,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,14541051,CITY COM LTD
2.51E+11,4/12/2023,750188,ESCALE FRANCHISEE LTD
2.51E+11,4/12/2023,8473904,PHONECOM LTD
2.51E+11,4/13/2023,4062946,Balthazar
2.51E+11,4/13/2023,353177,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,7103176,PHONECOM LTD
2.51E+11,4/13/2023,19049210,CITY COM LTD
2.51E+11,4/13/2023,10077494,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/13/2023,11058193,Barthazal
2.51E+11,4/13/2023,6805011,NYUNGWE CELLULAR LTD
2.51E+11,4/13/2023,3104360,CITY COM LTD
2.51E+11,4/13/2023,17078441,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,10738486,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,7854434,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,14386982,CITY COM LTD
2.51E+11,4/13/2023,856954,ESCALE FRANCHISEE LTD
2.51E+11,4/13/2023,7640805,PHONECOM LTD
2.51E+11,4/14/2023,4791491,Balthazar
2.51E+11,4/14/2023,440564,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,7635344,PHONECOM LTD
2.51E+11,4/14/2023,15258715,CITY COM LTD
2.51E+11,4/14/2023,10555638,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/14/2023,12493953,Barthazal
2.51E+11,4/14/2023,7283566,NYUNGWE CELLULAR LTD
2.51E+11,4/14/2023,3362583,CITY COM LTD
2.51E+11,4/14/2023,18717600,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,11360695,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,8788459,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,14494209,CITY COM LTD
2.51E+11,4/14/2023,736808,ESCALE FRANCHISEE LTD
2.51E+11,4/14/2023,9091215,PHONECOM LTD
2.51E+11,4/15/2023,4346594,Balthazar
2.51E+11,4/15/2023,388164,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,7262465,PHONECOM LTD
2.51E+11,4/15/2023,13237370,CITY COM LTD
2.51E+11,4/15/2023,9417293,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/15/2023,11701411,Barthazal
2.51E+11,4/15/2023,7030154,NYUNGWE CELLULAR LTD
2.51E+11,4/15/2023,3112463,CITY COM LTD
2.51E+11,4/15/2023,17696095,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,9824219,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,7888504,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,13077918,CITY COM LTD
2.51E+11,4/15/2023,727328,ESCALE FRANCHISEE LTD
2.51E+11,4/15/2023,8665154,PHONECOM LTD
2.51E+11,4/16/2023,4286415,Balthazar
2.51E+11,4/16/2023,340048,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,5556732,PHONECOM LTD
2.51E+11,4/16/2023,10684598,CITY COM LTD
2.51E+11,4/16/2023,8359842,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/16/2023,11935187,Barthazal
2.51E+11,4/16/2023,6477195,NYUNGWE CELLULAR LTD
2.51E+11,4/16/2023,3210880,CITY COM LTD
2.51E+11,4/16/2023,17143273,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,10633948,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,7334282,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,13796764,CITY COM LTD
2.51E+11,4/16/2023,786468,ESCALE FRANCHISEE LTD
2.51E+11,4/16/2023,7169652,PHONECOM LTD
2.51E+11,4/17/2023,4316936,Balthazar
2.51E+11,4/17/2023,434343,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,8638805,PHONECOM LTD
2.51E+11,4/17/2023,13920371,CITY COM LTD
2.51E+11,4/17/2023,10064838,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/17/2023,12445409,Barthazal
2.51E+11,4/17/2023,7458944,NYUNGWE CELLULAR LTD
2.51E+11,4/17/2023,3348308,CITY COM LTD
2.51E+11,4/17/2023,18803537,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,11474381,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,8614957,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,14700638,CITY COM LTD
2.51E+11,4/17/2023,742419,ESCALE FRANCHISEE LTD
2.51E+11,4/17/2023,7760990,PHONECOM LTD
2.51E+11,4/18/2023,4004604,Balthazar
2.51E+11,4/18/2023,303120,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,9089159,PHONECOM LTD
2.51E+11,4/18/2023,13846738,CITY COM LTD
2.51E+11,4/18/2023,8903113,CENTRAL ALIMENTATION COM LTD
2.51E+11,4/18/2023,11174011,Barthazal
2.51E+11,4/18/2023,6694676,NYUNGWE CELLULAR LTD
2.51E+11,4/18/2023,2931512,CITY COM LTD
2.51E+11,4/18/2023,16432543,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,10502466,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,7534445,ESCALE FRANCHISEE LTD
2.51E+11,4/18/2023,12957521,CITY COM LTD
